score,target.id,target.approvedSymbol,target.biotype,gwas_credible_sets,clingen,geneburden,GWAS.id,L2G,GCST004133,GCST90446794,GCST90446795,FINNGEN_R12_K11_UC_STRICT2,GCST003097_2,GCST005537,GCST000964,GCST010001,GCST90473823,GCST90454275,GCST90044155,GCST90475322,GCST90436337,GCST000527,GCST90479622,GCST90018933,GCST90476067,GCST90129459,FINNGEN_R12_ULCERNAS,GCST90038684,GCST000624,GCST90468152,GCST90480319,GCST000623,GCST000243,FINNGEN_R12_ULCEROTH,GCST000529,GCST001728,GCST001118,GCST001938,GCST000311,GCST008658,GCST90480318,GCST90479621,GCST90018713,GCST90454587,GCST003960,GCST90179177,GWAS.count,name,NCBI.id,list.name,list.count,N.PPI,degree
0.314550853401644,ENSG00000177508,IRX3,protein_coding,0.516671584070038,NA,NA,GCST90479621,0.849885523319244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8498855,NA,NA,NA,NA,1,IRX3,79191,GWAS,1,77,1
0.314528270960545,ENSG00000101076,HNF4A,protein_coding,0.503954848775099,NA,NA,GCST90479621,0.796649396419525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7966494,NA,NA,NA,NA,1,HNF4A,3172,GWAS,1,428,7
0.314315251752488,ENSG00000149289,ZC3H12C,protein_coding,0.511705327721747,NA,NA,GCST005537,0.841716408729553,NA,NA,NA,NA,NA,0.8417164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ZC3H12C,85463,GWAS,1,20,0
0.314172459672083,ENSG00000145012,LPP,protein_coding,0.515270013077198,NA,NA,FINNGEN_R12_ULCEROTH/FINNGEN_R12_K11_UC_STRICT2,0.709475755691528/0.552417159080505,NA,NA,NA,0.5524172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7094758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,LPP,4026,GWAS,1,32,0
0.313829166812644,ENSG00000189067,LITAF,protein_coding,0.507410152819373,NA,NA,GCST90446794,0.834651172161102,NA,0.8346512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,LITAF,9516,GWAS,1,58,3
0.31351654958939,ENSG00000196498,NCOR2,protein_coding,0.513583159998844,NA,NA,GCST90179177,0.844805300235748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8448053,1,NCOR2,9612,GWAS,1,362,7
0.313489912161967,ENSG00000075426,FOSL2,protein_coding,0.514147274251006,NA,NA,GCST005537,0.845733225345612,NA,NA,NA,NA,NA,0.8457332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FOSL2,2355,GWAS,1,127,8
0.31267544504475,ENSG00000101745,ANKRD12,protein_coding,0.514327364682228,NA,NA,GCST90480318,0.846029460430145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8460295,NA,NA,NA,NA,NA,1,ANKRD12,23253,GWAS,1,19,0
0.312670340358028,ENSG00000157343,ARMC12,protein_coding,0.514318967860185,NA,NA,GCST90446795,0.783601403236389,NA,NA,0.7836014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,ARMC12,221481,GWAS,1,15,0
0.312308463824853,ENSG00000112078,KCTD20,protein_coding,0.513723708441519,NA,NA,GCST90446795,0.783965349197388,NA,NA,0.7839653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,KCTD20,222658,GWAS,1,40,1
